normalized_url,raw_url_count,clicks,impressions,ctr_percent,avg_position,present_in_gsc
"https://xuongmaygiatot.vn/","1","613","35100","1.75","14.07","yes"
"https://xuongmaygiatot.vn/xuong-may-quan-ao-so-luong-it-tai-tp-hcm/","7","153","11577","1.32","10.09","yes"
"https://xuongmaygiatot.vn/dich-vu-may-mac/thiet-ke-thoi-trang-theo-yeu-cau/","1","119","1777","6.70","13.10","yes"
"https://xuongmaygiatot.vn/dich-vu-may-mac/xuong-may-xuong-gia-cong-gia-tot/","1","47","4699","1.00","20.50","yes"
"https://xuongmaygiatot.vn/top-10-xuong-may-uy-tin-co-danh-gia-tot/","5","46","3120","1.47","8.96","yes"
"https://xuongmaygiatot.vn/dich-vu-may-theo-mau-tu-a-z-giai-phap-tiet-kiem/","6","38","1010","3.76","7.06","yes"
"https://xuongmaygiatot.vn/xuong-may-quan-ao-the-thao-5-buoc-dat-may/","4","27","828","3.26","19.02","yes"
"https://xuongmaygiatot.vn/xuong-may-gia-cong-uy-tin-tai-tp-hcm-4-tieu-chi/","6","25","2307","1.08","31.50","yes"
"https://xuongmaygiatot.vn/xuong-may-gia-cong-gia-re-uy-tin/","5","23","1009","2.28","15.55","yes"
"https://xuongmaygiatot.vn/xuong-may-gia-cong-theo-yeu-cau-gia-re/","6","22","6287","0.35","19.47","yes"
"https://xuongmaygiatot.vn/dich-vu-may-mac/si-quan-ao-gia-tot/","1","21","3799","0.55","34.49","yes"
"https://xuongmaygiatot.vn/tim-hieu-danh-sach-xuong-may-o-vn/","1","20","688","2.91","7.66","yes"
"https://xuongmaygiatot.vn/xuong-may-gia-cong/","1","19","1482","1.28","16.69","yes"
"https://xuongmaygiatot.vn/lien-he/","1","19","868","2.19","6.52","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-nu-dazy-dai-tay-mac-thoai-mai-co-gap-theu-hoa-tiet-soc-arden-smn002/","1","12","255","4.71","16.36","yes"
"https://xuongmaygiatot.vn/xuong-may-nhan-may-gap-tp-hcm/","1","8","415","1.93","13.17","yes"
"https://xuongmaygiatot.vn/xu-huong-phat-trien-nganh-det-may-viet-nam-trong-giai-doan-hoi-nhap-kinh-teluu-ban-nhap-tu-dong/","6","8","320","2.50","15.41","yes"
"https://xuongmaygiatot.vn/gia-cong-trong-nuoc-thay-vi-nhap-hang-trung-quoc/","1","5","301","1.66","7.26","yes"
"https://xuongmaygiatot.vn/xuong-may-dong-phuc-hoc-sinh-5-cau-hoi-giai-dap/","1","4","294","1.36","56.20","yes"
"https://xuongmaygiatot.vn/san-pham/page/2/","1","4","150","2.67","7.63","yes"
"https://xuongmaygiatot.vn/gia-cong-ao-polo-cho-thuong-hieu-thoi-trang-viet/","1","4","127","3.15","7.31","yes"
"https://xuongmaygiatot.vn/san-pham/ao-ni-half-zip-arden-at0854/","1","4","117","3.42","8.26","yes"
"https://xuongmaygiatot.vn/san-pham/","1","3","350","0.86","5.26","yes"
